Origin,Destination,Via_Hub,Fare_Udeung,Remarks
화순,흑산도,특수,44000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
흑산도,화순,특수,44000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
화순,홍도,특수,51700,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
홍도,화순,특수,51700,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
화순,청산도,특수,31700,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
청산도,화순,특수,31700,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
화순,노화도,특수,29500,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
노화도,화순,특수,29500,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
화순,소안도,특수,30700,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
소안도,화순,특수,30700,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
화순,보길도,특수,29500,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
보길도,화순,특수,29500,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
화순,조도(하조도),특수,22000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
조도(하조도),화순,특수,22000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
화순,관매도,특수,28800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
관매도,화순,특수,28800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
화순,거문도,특수,51600,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
거문도,화순,특수,51600,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
화순,금오도,특수,25000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
금오도,화순,특수,25000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
화순,개도,특수,24500,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
개도,화순,특수,24500,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,압해,특수,12200,농어촌버스 요금 보전(맥시멈)
압해,장흥,특수,12200,농어촌버스 요금 보전(맥시멈)
장흥,암태,특수,12200,농어촌버스 요금 보전(맥시멈)
암태,장흥,특수,12200,농어촌버스 요금 보전(맥시멈)
장흥,자은,특수,12200,농어촌버스 요금 보전(맥시멈)
자은,장흥,특수,12200,농어촌버스 요금 보전(맥시멈)
장흥,팔금,특수,12200,농어촌버스 요금 보전(맥시멈)
팔금,장흥,특수,12200,농어촌버스 요금 보전(맥시멈)
장흥,안좌,특수,12200,농어촌버스 요금 보전(맥시멈)
안좌,장흥,특수,12200,농어촌버스 요금 보전(맥시멈)
장흥,지도,특수,12200,농어촌버스 요금 보전(맥시멈)
지도,장흥,특수,12200,농어촌버스 요금 보전(맥시멈)
장흥,증도,특수,12200,농어촌버스 요금 보전(맥시멈)
증도,장흥,특수,12200,농어촌버스 요금 보전(맥시멈)
장흥,임자,특수,12200,농어촌버스 요금 보전(맥시멈)
임자,장흥,특수,12200,농어촌버스 요금 보전(맥시멈)
장흥,비금(가산),특수,18200,"농어촌버스 2000 + 선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
비금(가산),장흥,특수,18200,"농어촌버스 2000 + 선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,도초(화도),특수,18200,"농어촌버스 2000 + 선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
도초(화도),장흥,특수,18200,"농어촌버스 2000 + 선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,하의(웅곡),특수,34300,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
하의(웅곡),장흥,특수,34300,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,신의(상태),특수,22000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
신의(상태),장흥,특수,22000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,장도,특수,22300,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장도,장흥,특수,22300,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,흑산도,특수,44500,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
흑산도,장흥,특수,44500,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,홍도,특수,52200,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
홍도,장흥,특수,52200,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,청산도,특수,11000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
청산도,장흥,특수,11000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,노화도,특수,8800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
노화도,장흥,특수,8800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,소안도,특수,10000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
소안도,장흥,특수,10000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,보길도,특수,8800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
보길도,장흥,특수,8800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,조도(하조도),특수,22000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
조도(하조도),장흥,특수,22000,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,관매도,특수,28800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
관매도,장흥,특수,28800,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,거문도,특수,52200,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
거문도,장흥,특수,52200,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
장흥,금오도,특수,25600,"선박실비 / 전라남도 섬지역 여객선 운임 지원 조례 적용 시 1,000원"
